Ps,Trial ,Score,total,FN
1,1,1,8,spaced
1,2,1,8,spaced
1,3,3,8,spaced
1,4,5,8,spaced
2,1,0,8,spaced
2,2,2,8,spaced
2,3,3,8,spaced
2,4,4,8,spaced
3,1,2,8,spaced
3,2,4,8,spaced
3,3,4,8,spaced
3,4,6,8,spaced
4,1,2,8,spaced
4,2,3,8,spaced
4,3,5,8,spaced
4,4,5,8,spaced
5,1,1,8,spaced
5,2,1,8,spaced
5,3,4,8,spaced
5,4,5,8,spaced
6,1,1,8,spaced
6,2,3,8,spaced
6,3,3,8,spaced
6,4,5,8,spaced
7,1,2,8,spaced
7,2,2,8,spaced
7,3,4,8,spaced
7,4,6,8,spaced
8,1,0,8,spaced
8,2,1,8,spaced
8,3,3,8,spaced
8,4,5,8,spaced
9,1,1,8,spaced
9,2,3,8,spaced
9,3,3,8,spaced
9,4,5,8,spaced
10,1,2,8,spaced
10,2,2,8,spaced
10,3,3,8,spaced
10,4,5,8,spaced
11,1,1,8,spaced
11,2,3,8,spaced
11,3,3,8,spaced
11,4,6,8,spaced
12,1,0,8,spaced
12,2,2,8,spaced
12,3,2,8,spaced
12,4,4,8,spaced
13,1,2,8,spaced
13,2,4,8,spaced
13,3,4,8,spaced
13,4,5,8,spaced
14,1,0,8,spaced
14,2,3,8,spaced
14,3,3,8,spaced
14,4,5,8,spaced
15,1,0,8,spaced
15,2,2,8,spaced
15,3,4,8,spaced
15,4,4,8,spaced
16,1,2,8,spaced
16,2,3,8,spaced
16,3,3,8,spaced
16,4,5,8,spaced
17,1,2,8,spaced
17,2,2,8,spaced
17,3,5,8,spaced
17,4,6,8,spaced
18,1,1,8,spaced
18,2,3,8,spaced
18,3,4,8,spaced
18,4,4,8,spaced
19,1,1,8,spaced
19,2,1,8,spaced
19,3,3,8,spaced
19,4,4,8,spaced
20,1,2,8,spaced
20,2,2,8,spaced
20,3,3,8,spaced
20,4,4,8,spaced
21,1,3,8,spaced
21,2,5,8,spaced
21,3,5,8,spaced
21,4,6,8,spaced
22,1,2,8,spaced
22,2,3,8,spaced
22,3,4,8,spaced
22,4,4,8,spaced
23,1,2,8,spaced
23,2,6,8,spaced
23,3,3,8,spaced
23,4,4,8,spaced
24,1,2,8,spaced
24,2,4,8,spaced
24,3,7,8,spaced
24,4,7,8,spaced
25,1,2,8,spaced
25,2,3,8,spaced
25,3,4,8,spaced
25,4,5,8,spaced
26,1,7,8,spaced
26,2,8,8,spaced
26,3,8,8,spaced
26,4,8,8,spaced
27,1,2,8,spaced
27,2,7,8,spaced
27,3,5,8,spaced
27,4,6,8,spaced
28,1,2,8,spaced
28,2,3,8,spaced
28,3,4,8,spaced
28,4,3,8,spaced
29,1,4,8,spaced
29,2,8,8,spaced
29,3,8,8,spaced
29,4,8,8,spaced
30,1,2,8,spaced
30,2,7,8,spaced
30,3,6,8,spaced
30,4,7,8,spaced
31,1,3,8,spaced
31,2,2,8,spaced
31,3,3,8,spaced
31,4,6,8,spaced
32,1,2,8,spaced
32,2,4,8,spaced
32,3,6,8,spaced
32,4,5,8,spaced
33,1,2,8,spaced
33,2,7,8,spaced
33,3,8,8,spaced
33,4,8,8,spaced
34,1,0,8,spaced
34,2,5,8,spaced
34,3,7,8,spaced
34,4,6,8,spaced
35,1,3,8,spaced
35,2,2,8,spaced
35,3,5,8,spaced
35,4,5,8,spaced
36,1,6,8,spaced
36,2,7,8,spaced
36,3,8,8,spaced
36,4,8,8,spaced
37,1,0,8,spaced
37,2,5,8,spaced
37,3,5,8,spaced
37,4,5,8,spaced
38,1,2,8,spaced
38,2,4,8,spaced
38,3,7,8,spaced
38,4,7,8,spaced
39,1,3,8,spaced
39,2,7,8,spaced
39,3,7,8,spaced
39,4,7,8,spaced
40,1,3,8,spaced
