Ps,Trial ,Score,Age
1,1,36.70548143,18-20
1,2,80.91216237,18-20
1,3,85.15635116,18-20
1,4,151.8631202,18-20
1,5,156.2439366,18-20
2,1,31.43612599,18-20
2,2,75.81977811,18-20
2,3,59.20882503,18-20
2,4,80.41490998,18-20
2,5,103.9315967,18-20
3,1,31.61427158,18-20
3,2,77.10174726,18-20
3,3,65.6296113,18-20
3,4,99.52862474,18-20
3,5,148.9563916,18-20
4,1,31.61427158,18-20
4,2,81.51981102,18-20
4,3,61.42703742,18-20
4,4,79.84499147,18-20
4,5,218.6017793,18-20
5,1,31.4426987,18-20
5,2,77.62303859,18-20
5,3,55.64590664,18-20
5,4,140.9150016,18-20
5,5,117.9618312,18-20
6,1,31.86353168,18-20
6,2,78.54287679,18-20
6,3,90.10538218,18-20
6,4,79.95202254,18-20
6,5,140.7459087,18-20
7,1,31.79241716,18-20
7,2,76.47123055,18-20
7,3,63.81389354,18-20
7,4,86.7427838,18-20
7,5,162.1365248,18-20
8,1,31.61427158,18-20
8,2,91.47118384,18-20
8,3,60.82132972,18-20
8,4,113.0727374,18-20
8,5,164.6255054,18-20
9,1,34.89949494,18-20
9,2,81.27112583,18-20
9,3,92.16404806,18-20
9,4,94.47118384,18-20
9,5,124.3215234,18-20
10,1,32.02848514,18-20
10,2,75.62303859,18-20
10,3,77.50821721,18-20
10,4,87.04387508,18-20
10,5,172.3549973,18-20
11,1,32.55634919,18-20
11,2,79.35753336,18-20
11,3,55.55197078,18-20
11,4,79.93674709,18-20
11,5,122.9783777,18-20
12,1,90.17938778,18-20
12,2,151.001761,18-20
12,3,121.0591646,18-20
12,4,211.3762994,18-20
12,5,336.0846789,18-20
13,1,37.73011636,18-20
13,2,91.54807737,18-20
13,3,88.98152406,18-20
13,4,112.8209023,18-20
13,5,161.1937754,18-20
14,1,36.3137085,18-20
14,2,79.31975301,18-20
14,3,134.308378,18-20
14,4,80.41545575,18-20
14,5,105.8955365,18-20
15,1,32.55634919,18-20
15,2,78.92243077,18-20
15,3,67.82517642,18-20
15,4,91.75743061,18-20
15,5,190.670189,18-20
16,1,32.60769887,18-20
16,2,76.83836854,18-20
16,3,62.90729769,18-20
16,4,95.37184455,18-20
16,5,189.9805473,18-20
17,1,31.43612599,18-20
17,2,77.02795694,18-20
17,3,56.08928997,18-20
17,4,89.01078534,18-20
17,5,107.2778165,18-20
18,1,31.61427158,18-20
18,2,76.31707721,18-20
18,3,57.98546641,18-20
18,4,89.30121279,18-20
18,5,106.7340203,18-20
19,1,32.61427158,18-20
19,2,77.8803763,18-20
19,3,56.7269578,18-20
19,4,81.61399131,18-20
19,5,142.5444495,18-20
20,1,31.02848514,18-20
20,2,77.52408513,18-20
20,3,60.20823255,18-20
20,4,81.88582482,18-20
20,5,131.1696146,18-20
21,1,32.61427158,18-20
21,2,76.30388508,18-20
21,3,63.7513861,18-20
21,4,131.3296477,18-20
21,5,190.9222759,18-20
22,1,31.79241716,18-20
22,2,74.96346184,18-20
22,3,61.33562093,18-20
22,4,85.51596082,18-20
22,5,124.5522398,18-20
23,1,30.85691227,18-20
23,2,79.25745221,18-20
23,3,58.56452372,18-20
23,4,88.07187394,18-20
23,5,107.2282629,18-20
24,1,33.19348531,18-20
24,2,76.40576227,18-20
24,3,60.99203912,18-20
24,4,84.66626747,18-20
24,5,107.7493565,18-20
25,1,31.3159028,18-20
25,2,75.68266359,18-20
25,3,57.52076664,18-20
25,4,82.70345184,18-20
25,5,100.5026861,18-20
26,1,31.20663073,18-20
26,2,77.61374338,18-20
26,3,60.97792052,18-20
26,4,83.27000515,18-20
26,5,108.315777,18-20
27,1,114.4985475,18-20
27,2,244.1483301,18-20
27,3,64.04055659,18-20
27,4,119.1766784,18-20
27,5,150.1980319,18-20
28,1,31.97056275,18-20
28,2,80.54170238,18-20
28,3,59.85867051,18-20
28,4,82.53338386,18-20
28,5,106.4021811,18-20
29,1,33.72792206,18-20
29,2,77.6296113,18-20
29,3,81.02191243,18-20
29,4,84.32584422,18-20
29,5,133.1139873,18-20
30,1,31.61427158,18-20
30,2,78.75860151,18-20
30,3,57.5651162,18-20
30,4,81.51280225,18-20
30,5,157.5131768,18-20
31,1,31.79241716,18-20
31,2,76.9382987,18-20
31,3,56.91371047,18-20
31,4,80.38903979,18-20
31,5,106.8462845,18-20
32,1,54.50719381,18-20
32,2,76.6296113,18-20
32,3,56.3159028,18-20
32,4,80.45803843,18-20
32,5,173.6571443,18-20
33,1,33.72792206,18-20
33,2,83.47118384,18-20
33,3,62.68096098,18-20
33,4,82.689728,18-20
33,5,119.2657953,18-20
34,1,32.20663073,18-20
34,2,78.46461113,18-20
34,3,56.55854349,18-20
34,4,80.67361631,18-20
34,5,130.5146607,18-20
35,1,31.79241716,18-20
35,2,78.94746878,18-20
35,3,142.096673,18-20
35,4,94.66067211,18-20
35,5,146.0588005,18-20
36,1,34.89949494,18-20
36,2,79.20512934,18-20
36,3,65.42898796,18-20
36,4,123.6430549,18-20
36,5,122.0890043,18-20
37,1,30.85033956,18-20
37,2,75.60907991,18-20
37,3,55.00487361,18-20
37,4,80.85428669,18-20
37,5,100.5006518,18-20
38,1,32.20663073,18-20
38,2,78.22854316,18-20
38,3,58.15747535,18-20
38,4,83.90501124,18-20
38,5,103.2078729,18-20
39,1,31.02848514,18-20
39,2,78.04927338,18-20
39,3,61.78215769,18-20
39,4,79.85306908,18-20
39,5,113.0438786,18-20
40,1,31.97056275,18-20
40,2,83.82747501,18-20
40,3,97.58483433,18-20
40,4,95.46680544,18-20
40,5,107.1433778,18-20
41,1,31.79241716,18-20
41,2,80.40231034,18-20
41,3,59.50719381,18-20
41,4,81.93674709,18-20
41,5,126.9652322,18-20
42,1,31.79241716,18-20
42,2,75.82094901,18-20
42,3,60.90344207,18-20
42,4,82.50704631,18-20
42,5,100.319275,18-20
43,1,31.85033956,18-20
43,2,75.60619748,18-20
43,3,56.73551817,18-20
43,4,105.0897798,18-20
