Ps,Trial,Score
1,1,60
1,2,26
1,3,7
1,4,11
1,5,10
1,6,16
1,7,12
1,8,5
1,9,17
1,10,4
1,11,16
1,12,12
2,1,60
2,2,60
2,3,57
2,4,18
2,5,20
2,6,25
2,7,13
2,8,15
2,9,11
2,10,12
2,11,15
2,12,13
3,1,60
3,2,60
3,3,36
3,4,60
3,5,60
3,6,59
3,7,30
3,8,21
3,9,33
3,10,32
3,11,25
3,12,22
4,1,60
4,2,60
4,3,28
4,4,60
4,5,12
4,6,27
4,7,31
4,8,32
4,9,28
4,10,56
4,11,21
4,12,11
5,1,60
5,2,60
5,3,60
5,4,60
5,5,22
5,6,34
5,7,60
5,8,10
5,9,49
5,10,34
5,11,45
5,12,22
6,1,56
6,2,36
6,3,60
6,4,21
6,5,24
6,6,60
6,7,53
6,8,13
6,9,60
6,10,8
6,11,18
6,12,15
7,1,60
7,2,37
7,3,12
7,4,12
7,5,9
7,6,14
7,7,11
7,8,10
7,9,11
7,10,10
7,11,13
7,12,13
8,1,60
8,2,13
8,3,4
8,4,38
8,5,13
8,6,17
8,7,15
8,8,5
8,9,17
8,10,10
8,11,14
8,12,20
9,1,60
9,2,60
9,3,46
9,4,60
9,5,19
9,6,13
9,7,60
9,8,12
9,9,10
9,10,19
9,11,18
9,12,48
10,1,60
10,2,10
10,3,7
10,4,10
10,5,14
10,6,11
10,7,11
10,8,6
10,9,11
10,10,10
10,11,12
10,12,10
11,1,21
11,2,48
11,3,7
11,4,10
11,5,7
11,6,11
11,7,12
11,8,8
11,9,11
11,10,8
11,11,11
11,12,11
12,1,60
12,2,60
12,3,25
12,4,15
12,5,12
12,6,11
12,7,17
12,8,7
12,9,16
12,10,17
12,11,14
12,12,11
13,1,60
13,2,42
13,3,42
13,4,31
13,5,19
13,6,33
13,7,26
13,8,13
13,9,16
13,10,22
13,11,14
13,12,11
14,1,60
14,2,59
14,3,46
14,4,60
14,5,50
14,6,40
14,7,32
14,8,30
14,9,31
14,10,40
14,11,32
14,12,60
15,1,15
15,2,20
15,3,60
15,4,27
15,5,52
15,6,13
15,7,13
15,8,8
15,9,15
15,10,13
15,11,17
15,12,14
16,1,60
16,2,60
16,3,60
16,4,9
16,5,21
16,6,33
16,7,59
16,8,51
16,9,12
16,10,21
16,11,13
16,12,28
17,1,60
17,2,60
17,3,60
17,4,7
17,5,9
17,6,13
17,7,12
17,8,11
17,9,11
17,10,10
17,11,12
17,12,12
18,1,41
18,2,56
18,3,11
18,4,5
18,5,8
18,6,10
18,7,13
18,8,7
18,9,11
18,10,9
18,11,11
18,12,13
19,1,60
19,2,18
19,3,10
19,4,12
19,5,16
19,6,12
19,7,21
19,8,10
19,9,11
19,10,12
19,11,19
19,12,11
20,1,60
20,2,16
20,3,5
20,4,5
20,5,13
20,6,10
20,7,10
